artist,genre,title,album,year,lyrics,Amazement,Calmness,Joyful activation,Nostalgia,Power,Sadness,Solemnity,Tenderness,Tension
Wu-Tang Clan,Hip-Hop,Reunited,Wu-Tang Forever,1997.0,"It's Wu motherfuckers, Wu-Tang motherfuckers. It's Wu motherfuckers, a Wu-Tang motherfuckers. It's Wu. Reunited, double LP, world excited. Struck a match to the underground, industry ignited. From metaphorical parables to fertilize the Earth. Wicked niggas come, try to burglarize the turf. Scatting off soft-ass beats them niggas rap happily. Tragically, that style deteriorate rapidly. Uncompleted missions, throwing your best known compositions. You couldn't add it up if you mastered addition. Where I come from, getting visuals is habitual. You're more safe walking on hot coals in rituals. I splash the paint on the wall, formed a mural. He took a look, saw the manifestation of it was plural. Rhyming while impaired, dart hit your garment. Pierced your internal streamlined compartments. Just consider the unparalleled advantage. Of a natural disaster that's impossible to manage. Bitchass niggas counterfeit the funk. I smoke the bead of the skunk, tree top of the trunk. Moonshine drunken monk, your head get shrunk. Your treasure sunk, I be fucking bitches by the chunk. My name black, you worms wanna play in my dirt. Bitch stop, my Momma serve free lunch from the church. I cum like a thousand doves. Bitch you quiet at the bus, making no fuss, I got self love. Unglove the noose, watch a nigga transfuse. Dirty add to the fuse, heavy at the booze. I don't walk, I get carried. Gold and platinum Frisbees on my wall, looking properly. But comely, I U.F.O. you Wright Brothers. The Indian that sold Manhattan to the white man. My grandfather, step up and get knocked right the fuck out. Come to the cook-out, dirty bitch at the mouth. You scared, run around like the plane about to crash. Wu-Tang motherfuckers. Yeah and RZA. Yo, yo The Riddler, funny bone tickler, freak Caligula. Bigger dick sex enigma, pistil fertilize your stigma. Stinkbox order from Pink Dot. MCs get stuck on ink blots, AirSound plug to the sinkbox. Wu-Tang Incorp. take your brain on spacewarp. Talk strange like Bjork, great hero Jim Thorpe. How can I put it, life is like video footage. Hard to edit, directors, that never understood it. Too impulsive, my deadly corrosive dosage. Attack when you least notice through explosive postage. I don't play, the rap souffle saute for the day. Ruler Zig-Zag-Zig A Leg Leg Arm Head. Spread like plague, we drink Hennessy by the keg. I got the golden egg plus the goose. Eighty proof Absolut mixed with cranberry fruit juice. Ginseng root, I got your neck in a noose. Keep my money wrinkled, the rap star twinkle killer instinct. Sixteen bar nickel sell more copies than Kinko. Grow like a fetus with no hands and feet to complete us. And we return like Jesus when the whole world need us. Is it appetite for destruction? Slap a murder rap on this production. I touch something, trust nothing. Iron Lung/Twisted Metal. I see 'em ducking my dart gun, busting from every angle. Worldwide total carnage, the sickest flow. That be codenamed Agent Orange, killing you slow. It's only right you pay homage. To those that's 'bout to blow like that shit up your nose. Solid as a rock when I strike target. Verbal be screaming on you like a drill sergeant. Herbals got me where I wanna be right now. Don't know the time. Check the hour on your sundial, watch me shine. Drunk off of cheap wine. Each line be on point when I speak mine. On behalf of my crew, SUUUUUUUUUUU, Enter the Wu. 36 more deadly Chambers to take you through. It's Wu motherfuckers. Oh yeahhhh, ahhh, aiyy yeahh yeahhhahh aiii. And RZA.",0,0,1,0,1,0,1,0,0
Nirvana,Rock,Where Did You Sleep Last Night,MTV Unplugged in New York,1994.0,"My girl, my girl, don't lie to me. Tell me where did you sleep last night. In the pines, in the pines where the sun don't ever shine. I would shiver the whole night through. My girl, my girl, where will you go? I'm going where the cold wind blows. Her husband was a hard working man. Just about a mile from here. His head was found in a driving wheel. But his body never was found. I would shiver the whole night through (Shiver for me). In the pines, the pines the sun don't shine. I'd shiver... the whole night through. Thank you.",0,0,0,0,0,1,0,1,1
Radiohead,Rock,High and Dry,The Bends,1995.0,"Two jumps in a week, I bet you. Think that's pretty clever, don't you, boy. Flying on your motorcycle. Watching all the ground beneath you drop. You'd kill yourself for recognition. Kill yourself to never, ever stop. You broke another mirror. You're turning into something you are not. Don't leave me high. Don't leave me dry. Drying up in conversation. You will be the one who cannot talk. All your insides fall to pieces. You just sit there wishing you could still make love. They're the ones who'll hate you. When you think you've got the world all sussed out. They're the ones who'll spit at you. You will be the one screaming out. Oh, it's the best thing that you've ever had. The best thing that you've ever, ever had. It's the best thing that you've ever had. The best thing you've had has gone away. So don't leave me high.",0,0,0,1,0,1,0,1,1
Garth Brooks,Country,That Summer,The Chase,1993.0,"I went to work for her that summer. A teenage kid so far from home. She was a lonely widow woman. Hell-bent to make it on her own. We were a thousand miles from nowhere. Wheat fields as far as I could see. Both needing somethin' from each other. Not knowin' yet what that might be. 'Til she came to me one evenin'. Hot cup of coffee and a smile. In a dress that I was certain. She hadn't worn in quite a while. There was a difference in her laughter. There was a softness in her eyes. And on the air there was a hunger. Even a boy could recognize. She had a need to feel the thunder. To chase the lightnin' from the sky. To watch a storm with all its wonder. Ragin' in her lover's eyes. She had to ride the heat of passion. Like a comet burnin' bright. Rushin' headlong in the wind, out where only dreams have been. Burnin' both ends of the night. That summer wind was all around me. Nothin' between us but the night. And when I told her that I'd never. She softly whispered that's alright. And then I watched her hands of leather. Turn to velvet in a touch. There's never been another summer. When I have ever learned so much. We had a need to feel the thunder. Ragin' in each others eyes. We had to ride the heat of passion. I often think about that summer. The sweat, the moonlight and the lace. And I have rarely held another. When I haven't seen her face. And every time I pass a wheat field. And watch it dancin' with the wind. Although I know it isn't real, I just can't help but feel. Her hungry arms again.",0,0,0,1,0,0,0,1,0
Peter Tosh,Reggae,Pick Myself Up,Bush Doctor,,"Sittin' in the morning sun. And watching all the birds passing by. Oh how sweet they sing. And oh how much I wish that I could fly. And I try. I said I try. I try. I really try try try. But I got to. Pick myself up. Dust myself off. Start all over, again (Chorus 2x). Sittin' in the midday sun. And wondering where my meal's coming from. After working so hard. Not even piece of bread at the yard. And I said I try. Oh Lord I try. Sittin' in the evening sun. And watching the same birds passing by. Sittin' and wondering. And waiting for the time for me to fly. Good Lord I try. So long and I just find. It was just a waste of time. I been been wasting all my time. I've got to pick myself up.",0,1,0,0,1,1,1,0,0
Soundgarden,Rock,Mailman,Superunknown ,1994.0,"Hello don't you know me. I'm the dirt beneath your feet. The most important fool you forgot to see. I've seen how you give it. Now I want you to receive. I'm sure, for you would do the same for me. Cause I know I'm headed for the bottom. I know I'm headed for the bottom. But I'm riding you all the way. Yeah, I'm riding you all the way. I'm riding, yeah. For all of your kisses. Turned to spit in my face. For all that reminds me which is my place. For all the times when. You made me disappear. This time I'm sure you will know that I'm here. Riding you all the way. Riding. Riding all the way. My place was beneath you. But now I'm above. And now I send you a message of love. A simple reminder of what. You won't see. A future so holy without me. I know I'm headed for the. I'm riding you all the way. Yeah, I'm riding you. Yes, I'm riding you. I'm riding you. Yes!.",0,0,0,0,1,1,1,0,1
Elvis Presley,Rock,Blue Christmas,Elvis’ Christmas Album,1964.0,"I'll have a Blue Christmas without you. (Ooh, ooh, ooh, ooh). I'll be so blue just thinking about you. Decorations of red on a green Christmas tree. (Ahh, ahh). Won't be the same dear, if you're not here with me. (Ooh). And when those blue snowflakes start fallin'. That's when those blue memories start callin'. You'll be doin' all right, with your Christmas of white. But I'll have a blue, blue, blue, blue Christmas. (Oooooaaaooooh. Oooooaaaooooh).",0,0,0,1,0,1,0,0,1
Dolly Parton,Country,I Will Always Love You,Jolene,1973.0,"If I should stay. I would only be in your way. So I'll go, but I know. I'll think of you each step of the way. And I will always love you. I will always love you. Bittersweet memories. That's all I'm taking with me. Goodbye, please don't cry. We both know that I'm not what you need. But I will always love you. I hope life treats you kind. And I hope that you have all. That you ever dreamed of. And I wish you joy and happiness. But above all this, I wish you love.",0,0,0,1,0,1,0,1,0
The Notorious B.I.G.,Hip-Hop,Warning,Ready to Die,1994.0,"Who the fuck is this, pagin' me at 5:46 in the morning? Crack of dawn and now I'm yawnin'. Wipe the cold out my eye. See who's this pagin' me and why. It's my nigga, Pop from the barbershop. Told me he was in the gambling spot and heard the intricate plot. Of niggas wanna stick me like flypaper, neighbor. Slow down, love, please chill, drop the caper. Remember them niggas from the hill up in Brownsville. That you rolled dice with, smoked blunts and got nice with? Yeah, my nigga Fame up in Prospect. Nah, them my niggas, nah, love, wouldn't disrespect. I didn't say them. They schooled me to some niggas that you knew from back when. When you was clockin' minor figures. Now they heard you're blowin' up like nitro. And they wanna stick the knife through your windpipe slow. So, thank Fame for warnin' me, 'cause now I'm warnin' you. I got the MAC, nigga, tell me what you gonna do. Damn, niggas wanna stick me for my paper. They heard about the Rolexes and the Lexus. With the Texas license plates out of state. They heard about the pounds you got down in Georgetown. And they heard you got half of Virginia locked down. They even heard about the crib. You bought your moms out in Florida, the Fifth Corridor. Call the coroner!. There's gonna be a lot of slow singin' and flower-bringin'. If my burglar alarm starts ringin'. What ya think all the guns is for? All-purpose war, got the Rottweilers by the door. And I feed 'em gunpowder so they can devour. The criminals tryin' to drop my decimals. Damn, niggas wanna stick me for my cream. And it ain't a dream, things ain't always what it seem. It's the ones that smoke blunts with ya, see your picture. Now they wanna grab they guns and come and get ya. Bet ya Biggie won't slip. I got the Calico with the black talons loaded in the clip. So I can rip through the ligaments. Put the fuckers in a bad predicament. Where all the foul niggas went. Touch my cheddar, feel my Beretta. Buck what I'ma hit you with, you motherfuckers better duck. I bring pain, bloodstains on what remains. Of his jacket, he had a gun, he shoulda packed it. Cocked it, extra clips in my pocket. So I can reload and explode on your asshole. I fuck around and get hardcore. C-4 to your door, no beef no more, nigga. Feel the rough, scandalous. The more weed smoke I puff, the more dangerous. I don't give a fuck about you or your weak crew. What you gonna do when Big Poppa come for you? I'm not runnin', nigga, I bust my gun and. Hold on, I hear somebody comin'. C'mon, motherfucker. Man, I'm comin' as fast as I can. Just g bring your motherfuckin' ass on, come on. Are we gettin' close, huh? It's right over here. You sure it's Biggie Smalls crib, man? Yeah, I'm sure, motherfucker, come on. Man, fuck, this better be his motherfuckin' house. Fuck, right here. Tsk, this better be this motherfucker's house. Oh shit. What? What's wrong? What's that red dot on your head, man? What red dot? Oh shit! You got a red dot on your head, too. Oh shit!.",0,0,0,0,1,0,0,0,1
Tim McGraw,Country,Indian Outlaw,Not a Moment Too Soon,1994.0,"I'm an Indian outlaw. Half Cherokee and Choctaw. My baby she's a Chippewa. She's one of a kind. All my friends call me Bear Claw. The Village Chieftain is my paw-paw. He gets his orders from my maw-maw. She makes him walk the line. You can find me in my wigwam. I'll be beatin' on my tom-tom. Pull out the pipe and smoke you some. Hey and pass it around. 'Cause I'm an Indian outlaw. I ain't lookin' for trouble. We can ride my pony double. Make your little heart bubble. Lord, like a glass of wine. I remember the medicine man. He caught Running Water in my hands. Drug me around by my headband. Said I wasn't her kind. I can kill a deer or buffalo. With just my arrow and my hickory bow. From a hundred yards don't you know. I do it all the time. They all gather 'round my teepee. Late at night tryin' to catch a peek at me. In nothin' but my buffalo briefs. I got them standin' in line. Cherokee people. Cherokee tribe. So proud to live. So proud to die.",0,0,1,0,1,0,0,1,0
Eminem,Hip-Hop,Killshot,,2018.0,"You sound like a bitch, bitch. Shut the fuck up. When your fans become your haters. You done? Fuckin' beard's weird. Alright. You yellin' at the mic, fuckin' weird beard (You want smoke). We doin' this once. You yellin' at the mic, your beard's weird. Why you yell at the mic? (Illa). Rihanna just hit me on a text. Last night I left hickeys on her neck. Wait, you just dissed me? I'm perplexed. Insult me in a line, compliment me on the next. Damn, I'm really sorry you want me to have a heart attack. Was watchin' 8 Mile on my NordicTrack. Realized I forgot to call you back. Here's that autograph for your daughter, I wrote it on a Starter cap. Stan, Stan, son. Listen, man, Dad isn't mad. But how you gonna name yourself after a damn gun. And have a man-bun? The giant's woke, eyes open, undeniable. Supplyin' smoke, got the fire stoked. Say you got me in a scope, but you grazed me. I say one call to Interscope and you're Swayze. Your reply got the crowd yelling, ""Woo!"". So before you die let's see who can out-petty who. With your corny lines (""Slim, you're old"")ow, Kelly, ooh. But I'm 45 and I'm still outselling you. By 29, I had three albums that had blew. Now let's talk about somethin' I don't really do. Go in someone's daughter's mouth stealin' food. But you're a fuckin' mole hill. Now I'ma make a mountain out of you, woo!. Ho, chill, actin' like you put the chrome barrel to my bone marrow. Gunner? Bitch, you ain't a bow and arrow. Say you'll run up on me like a phone bill, sprayin' lead (Brrt). Playin' dead, that's the only time you hold still (Hold up). Are you eating cereal or oatmeal? What the fuck's in the bowl, milk? Wheaties or Cheerios? 'Cause I'm takin' a shit in 'em, Kelly, I need reading material. Dictionary. ""Yo, Slim, your last four albums sucked. Go back to Recovery,"" oh shoot, that was three albums ago. What do you know? Oops. Know your facts before you come at me, lil' goof. Luxury, oh, you broke, bitch? Yeah, I had enough money in '02. To burn it in front of you, ho. Younger me? No, you the wack me, it's funny but so true. I'd rather be 80-year-old me than 20-year-old you. 'Til I'm hitting old age. Still can fill a whole page with a 10-year-old's rage. Got more fans than you in your own city, lil' kiddy, go play. Feel like I'm babysitting Lil Tay. Got the Diddy okay so you spent your whole day. Shootin' a video just to fuckin' dig your own grave. Got you at your own wake, I'm the billy goat. You ain't never made a list next to no Biggie, no Jay. Next to Taylor Swift and that Iggy ho, you about to really blow. Kelly, they'll be putting your name. Next to Ja, next to Benzinodie, motherfucker!. Like the last motherfucker sayin' Hailie in vain. Alien brain, you Satanist (Yeah). My biggest flops are your greatest hits. The game's mine again and ain't nothin' changed but the locks. So before I slay this bitch I, mwah, give Jade a kiss. Gotta wake up Labor Day to this (The fuck?). Bein' rich-shamed by some prick usin' my name for clickbait. In a state of bliss 'cause I said his goddamn name. Now I gotta cock back, aim. Yeah, bitch, pop Champagne to this! (Pop). It's your moment. This is it, as big as you're gonna get, so enjoy it. Had to give you a career to destroy it. Lethal injection. Go to sleep six feet deep, I'll give you a B for the effort. But if I was three-foot-eleven. You'd look up to me, and for the record. You would suck a dick to fuckin' be me for a second. Lick a ballsack to get on my channel. Give your life to be as solidified. This mothafuckin' shit is like Rambo when he's out of bullets. So what good is a fuckin' machine gun when it's outta ammo? Had enough of this tatted-up mumble rapper. How the fuck can him and I battle? He'll have to fuck Kim in my flannel. I'll give him my sandals. 'Cause he knows, long as I'm Shady he's gon' have to live in my shadow. Exhausting, letting off on my offspring. Lick a gun barrel, bitch, get off me!. You dance around it like a sombrero, we can all see. You're fuckin' salty. 'Cause Young Gerald's balls-deep inside of Halsey. Your red sweater, your black leather. You dress better, I rap better. That a death threat or a love letter? Little white toothpick. Thinks it's over a pic, I just don't like you, prick. Thanks for dissing me. Now I had an excuse on the mic to write ""Not Alike"". But really I don't care who's in the right. But you're losin' the fight you picked. Who else want it? Kellsattempt fails! BuddenL's!. Fuckin' nails in these coffins as soft as Cottonelle. Killshot, I will not fail, I'm with the Doc still. But this idiot's boss pops pills and tells him he's got skills. But, Kells, the day you put out a hit's the day Diddy admits. That he put the hit out that got Pac killed, ah!. I'm sick of you bein' wack. And still usin' that mothafuckin' Auto-Tune. So let's talk about it (Let's talk about it). I'm sick of your mumble rap mouth. Need to get the cock up out it. Before we can even talk about it (Talk about it). I'm sick of your blonde hair and earrings. Just 'cause you look in the mirror and think. That you're Marshall Mathers (Marshall Mathers). Don't mean you are, and you're not about it. So just leave my dick in your mouth and keep my daughter out it. You fuckin'oh. And I'm just playin', Diddy. You know I love you.",0,0,0,0,1,0,0,0,1
The Smiths,Rock,Cemetry Gates,The Queen Is Dead,1986.0,"A dreaded sunny day. So I meet you at the cemetry gates. Keats and Yeats are on your side. While Wilde is on mine. So we go inside and we gravely read the stones. All those people, all those lives. Where are they now? With loves and hates. And passions just like mine. They were born. And then they lived. And then they died. Seems so unfair. I want to cry. You say: ""'Ere thrice the sun done salutation to the dawn"". And you claim these words as your own. But I've read well and I've heard them said. A hundred times. (maybe less, maybe more). If you must write prose and poems. The words you use should be your own. Don't plagiarise or take ""on loan"". 'Cause there's always someone, somewhere. With a big nose, who knows. And who trips you up and laughs. When you fall. Who'll trip you up and laugh. You say: ""'Ere long done do does did"". Words which could only be your own. And then produce the text. From whence was ripped. (Some dizzy whore, 1804). So let's go where we're happy. And I meet you at the cemetry gates. Oh, Keats and Yeats are on your side. So let's go where we're wanted. But you lose. 'Cause weird lover Wilde is on mine. Sugar!.",0,0,0,0,1,1,1,0,1
Peter Tosh,Reggae,Equal Rights,Equal Rights,,"Everyone is crying out for peace, yes. None is crying out for justice. I don't want no peace. I need equal rights and justice. Got to get it. Equal rights and justice. Everybody want to go to heaven. But nobody want to die (father of Jesus). Everybody want to go to up to heaven. But none o them, none o them want to die. I man need equal rights and justice. I got to get it. I really need it. Just give me my share. What is due to Caesar. You better give it on to Caesar. And what belong to I and I. You better, you better give it up to I. Cause I don't want no peace. I'm fighting for it. Everyone headed for the top. But tell me how far is it from the bottom. Nobody knows but. Everybody fighting to reach the top. How far is it from the bottom. I want equal rights and justice. Everyone is talking about crime. Tell me who are the criminals? I said everybody's talking about crime, crime. Tell me who, who are the criminals? I really don't see them. Got to get equal rights and justice. And there'll be no crime. There'll be no criminals. Everyone is fighting for. Palestine is fighting for. Down in Angola. Down in Botswana. Down in Zimbabwe. Down in Rhodesia. Right here in Jamaica.",0,0,0,0,1,0,0,0,1
Inner Circle,Reggae,Rivers Of Babylon,Jamaika Me Crazy,,"Dj. That is then and dis is now. Sing a song of praise and shout it out load. To reach Zion you have to be strong like a lion. Unity and strength divided we fall. Stand up for your right and pure in your want. Keep it in your mind and lock it in your thoughts. By the river of Babylon. Where we sat down. Yeah, where we wept when remembered Zion. For the wicked carried us away captivity. Required from us a song. Now, how can we sing king alpha song in strange land. Sing it loud, sing a song of freedom. Sing along brothers, sing along sisters. Oh, let the words of our mouths. And the meditation of our hearts. Be acceptable in thy sight oh for I. Required from us a song in a strange land. Oh, Oh let the words. Let the words of my mouth. Be acceptable in thy sight.",0,1,0,0,1,1,1,0,1
