title,lyrics,artist,genre,album,year,binary_sentiment
Big Up,"Big Up. Now this one dedicates to all the women that I please just big up for themself. Them the man them know say that the flush a bomb extra buff and rough. Shagsman and Rayvon is one new brand 'bout to become number one. Watch this. And you fi. Big up, big up. All of the women them big up, big up. All of the girl them big up, big up. Whooey. See me go. Watch it go cop. Teaching it please stand up, please. Viva Apache full of pure make-up. When she walk pon street a whole heap of man big them up. Gal you're fat and you're buff. Gal you're fat and you're buff, expensive and rough. A put your hand inna the air and just big up. Gal if you're fat and you're buff, I know your comfort. Put your hand inna the air and just big up. Gal if you're fat and you're buff, another virgin bluff. Well put your hand inna the air and just big up. Gal if you're fat and you're buff and you're buffer or dapper. Say wa. Jump and skin out 'cause you know I say a sexy. Shout it out 'cause a you have the vinery. Bawl it out you big thing and healthy. We brought you up a man we called so leave I man me. Your hair style man it look well fancy. Tell the all of them say you have your man a ready. Your face a look like fi vow a night monkey. Hid no pain, top just like Apache. Come, come take it from the one named Shaggy. Tell the world you big thing and healthy. Fat and you're buff, expensive and rough. Well I don't want no man tell me woman no nice, ey. And I don't want no man tell me woman no sweet, eey. Don't want no man tell me woman no nice, woman no nice. Don't want no man tell me woman no sweet, ey. Well you fi. Big up, big up, now your poom-poom shorts. Big up, big up, now your body lick shirt. Big up, big up, now your catwoman-suit. Big up, big up, mini-skirt look cute. So me say Brooklyn man helped me big them up. And a Manville man helped me big them up. And a New York man helped me big them up. And Flatbush man say helped me big them up. And a big up yourself because you're fat and you're buff, gal (Big up). Tell them say that you're fat and you're buff, gal (Big up). Tell them you are the god of buff, gal (Big up). Tell them you're expensive and rough, gal (Big up). Tell them say that a you confess, gal (Big up). Tell them say you're the virgin bluff. Put your hand inna the air and just sight, aha. Big up, big up, big up. Because you're fat and you're buff. Shagsman girl man she fat and she buff. Rayvon gal man she fat and she buff. Beauty is in the eye of the beholder, ey. And me don't want no man say I fi work Angela. Oooh, oooh. And me don't know King Kong, what if she know him, ya. Oooh. Big up, big up, whooey.",Shaggy,Reggae,Pure Pleasure,1993.0,positive
Bodyguard,"Bodyguard. Who's gonna bodyguard ya, mr. boduguard ? Who's gonna bodyguard ya, mr. bodyguard ? 'Cause I-man nuh wan' no one a mi yard. No one to claim seh dem a mi guard a mi yard. I want to know who. One of these days it a go dread (dreader than dread). Ev'ryone looking a place to hide 'em head, well dread. I wanna know who. Who's gonna bodyguard ya, mr. bodyguard, yeah. All who claim seh them a chief of staff. One a these days dem ha fi chuck off, yeah. Come a walk. I don't know who.",The Mighty Diamonds,Reggae,Deeper Roots Plus Dub,,positive
Because Of You,"Because Of You. I'm independent to a fault, I know this well. But I finally found love without losing myself. I'm so much happier sharing my life. All of the good things and bad things alike. I'm not afraid of the truth, I'm not me without you. Because of you, I'm me. All of a sudden, I'm something I wasn't. Because of you, I see. Everything I can be, lonely is history. I know that I'm better when we're together. Well, there's nothing wrong with the world. Oh, when you smile. The most beautiful sound I ever heard. Is you breathing at night. When you're asleep and don't know I can hear. Sounds like an angel whispering in my ear. I don't know what I would do. If it wasn't for you. Oh, because of you, I'm me. I don't need you the way a child needs a home. It's more like I'm free to admit. I'm not too proud to say out loud. I am who I am 'cause you're part of me now.",Shania Twain,Country,Now,2017.0,positive
Shame On A Nigga,"Shame On A Nigga. Shame on a nigga who try to run game on a nigga. Wu buck wild with the trigger. Wu buck I'll fuck your ass up!. Yo, hut one, hut two, hut three, hut!. Ol' Dirty Bastard, live and uncut. Styles unbreakable, shatterproof. To the young youth, you wanna get gun? Shoot!. Blaow! How you like me now? Don't fuck the style, ruthless wild. Do you wanna get your teeth knocked the fuck out? Wanna get on it like that? Well, then shout!. Yo RZA, yo razor, hit me with the major. The damage, my clan understand it, be flavor. Gunnin', hummin', comin' at ya. First I'm gonna get ya, once I got ya, I gat ya. You could never capture the Method Man's stature. For rhyme and for rapture, got niggas resignin', now master. My style? Never!. I put the fuckin' buck in the wild, kid, I'm terror, razor-sharp. I sever, the head from the shoulders, I'm better than my competta. You mean competitor, whatever, let's get together. Wu buck wild with the tri-BLOW!. I react so thick, I'm phat, and yo. Rae came blowin' and blew off your headphones, black. Rap from, yo, Cali to Texas. Smoother than a Lexus, now's my turn to wreck this. Brothers approach and half step. But ain't heard half of it yet and I bet you're not a fuckin' vet. So, when you see me on the real. Formin' like Voltron, remember I got deep like a Navy Seal. I'll fuck your ass up!. Yo! I come with that ol' loco style from my vocal. Couldn't peep it with a pair of bifocals. I'm no joker, play me as a joker. Be on you like a house on fire, smoke ya. Crews be actin' like they gangs, anyway. Be like, ""Warriors, come out and play!"". Burn me, I get into shit, I let it out like diarrhea. Got burnt once but that was only gonorrhea. Dirty, I keep shit stains in my drawers. So I can get fizza-funky for ya. Murder, taste the flame of the Wu-Tang. Rah! Here comes the Tiger vs. Crane. I'll be like wild with my style. Punk, you play me, chump, you get jumped. Wu is comin' through at a theater near you. And get funk like a shoe, what?",Wu-Tang Clan,Hip-Hop,Enter the Wu-Tang (36 Chambers),1993.0,negative
Meds,"Meds. I was alone, falling free. Trying my best not to forget. What happened to us, what happened to me. What happened as I let it slip. I was confused by the powers that be. Forgetting names and faces. Passers by, were looking at me. As if they could erase it. Baby...did you forget to take your meds? I was alone, staring over the ledge. All manner of joy, all manner of glee. And our one heroic pledge. How it mattered to us, how it mattered to me. And the consequences. I was confused, by the birds and the bees. Forgetting if I meant it. Baby..did you forget to take your meds? And the sex and the drugs, and the complications. Baby..did you forget to take you meds? I was alone, falling free, trying my best not to forget.",Placebo,Rock,Meds,2006.0,negative
Song for the Saints,"Song for the Saints. Long before a boat anchored the harbour. Long before steel drums filled the breeze. God lifted these islands from the ocean. They stood strong for centuries. So it's fitting they were named after men with golden halos. 'Cause angels don't give in just 'cause a little wind blows. We say we can when they say we can't. See what it is when they see what it ain't. With blood, sweat, and tears and a new coat of paint. We're just a sinner's choir singin' a song for the saints. Woah, woah. For the farmer in the field of sugar cane. For the drunkard in his hammock, dryin' out after the rain. For the teacher in the classroom, kid kickin' cans in the street. For the captain and his bar mate, prayin' down on bended knee. This brokenness will heal, this weakness will be strong. Let's lift our voice together as the saints go marchin' on. We're just a sinner's choir singin' a song for the.",Kenny Chesney,Country,Songs for the Saints,2018.0,positive
(Poor Mi) Israelites,"(Poor Mi) Israelites. Get up in the morning slaving for bread, sir. So that every mouth can be fed. Poor me Israelites. My wife an' my kids them a pack up an' a leave me. Darlin' she said, ""I was yours to be seen"". Shirt dem a tear-up trousers a go. I don't want to end up like Bonny and Clyde. After a storm there must be a calm. You catch me in your farm, you sound your alarm. I said, ""I get up in the morning slaving for bread, sir. So that every mouth can be fed"". Look, shirt dem a tear-up trousers a go. A-poor, a-poor, a-poor, a-poor me Israelites. Ima wondering working for hard. I look a-down and out, sir. A-poor.",Desmond Dekker,Reggae,This Is Desmond Dekker,,negative
Rockin’ Years,"Rockin’ Years. I'll do everything I can to make you proud to be my man. And I'll fulfill all your fantasies. I guess we're promising a lot, but for now it's all we've got. And I'll stand by you through our rocking years. Rocking chairs, rocking babies, rock-a-bye, rock of ages. Side by side we'll be together always. And if you'll hold me tight when you love me. That's all I'll ask of you. I'll be your friend, I'll be your lover. Until the end, there'll be no other. And my heart has only room for one. Yes, I'll always love you. And I'll always be here for you. Side by side, we'll be together always. And yes I'll always love you. And I'll stand by you through our rocking years, yes I'll be here. And I'll stand by you, through our rocking years. Through our rocking years.",Dolly Parton,Country,Eagle When She Flies,1991.0,positive
You And Tequila,"You And Tequila. Baby, here I am again. Kicking dust in the canyon wind. Waiting for that sun to go down. Made it up Mulholland Drive. Hell bent on getting high. High above the lights of town. Because you and tequila make me crazy. Run like poison in my blood. One more night could kill me, baby. One is one too many, one more is never enough. Thirty days and thirty nights. Been putting up a real good fight. There were times I thought you'd win. It's so easy to forget. The bitter taste the morning left. Swore I wouldn't go back there again. You and tequila make me crazy. When it comes to you. Oh, the damage I could do. It's always your favorite sins. That do you in. Never enough. You and tequila. You and tequila (make me crazy).",Kenny Chesney,Country,Hemingway’s Whiskey,2011.0,positive
Can’t Hardly Wait (The Tim Version),"Can’t Hardly Wait (The Tim Version). I'll be there in an hour. Take half a month there on foot. Watering hole, scummy waterin' tower. Sit on a boat if I could. I'll be sad in heaven. You won't follow me there. There. Jesus rides beside me. Never buys any smokes. Hurry up, hurry up. I've got enough of this stuff. Ashtray floor, dirty clothes, filthy jokes. Lights flash in the evening. I guess we'll follow them there. If I don't find a hole in the gate. Climb on the top of this scummy water tower screamin'. I can't hardly wait. I can't wait. 'til it's over.",The Replacements,Rock,Tim,1997.0,negative
That Summer,"That Summer. I went to work for her that summer. A teenage kid so far from home. She was a lonely widow woman. Hell-bent to make it on her own. We were a thousand miles from nowhere. Wheat fields as far as I could see. Both needing somethin' from each other. Not knowin' yet what that might be. 'Til she came to me one evenin'. Hot cup of coffee and a smile. In a dress that I was certain. She hadn't worn in quite a while. There was a difference in her laughter. There was a softness in her eyes. And on the air there was a hunger. Even a boy could recognize. She had a need to feel the thunder. To chase the lightnin' from the sky. To watch a storm with all its wonder. Ragin' in her lover's eyes. She had to ride the heat of passion. Like a comet burnin' bright. Rushin' headlong in the wind, out where only dreams have been. Burnin' both ends of the night. That summer wind was all around me. Nothin' between us but the night. And when I told her that I'd never. She softly whispered that's alright. And then I watched her hands of leather. Turn to velvet in a touch. There's never been another summer. When I have ever learned so much. We had a need to feel the thunder. Ragin' in each others eyes. We had to ride the heat of passion. I often think about that summer. The sweat, the moonlight and the lace. And I have rarely held another. When I haven't seen her face. And every time I pass a wheat field. And watch it dancin' with the wind. Although I know it isn't real, I just can't help but feel. Her hungry arms again.",Garth Brooks,Country,The Chase,1993.0,positive
The Boy with the Thorn in His Side,"The Boy with the Thorn in His Side. The boy with the thorn in his side. Behind the hatred there lies. A murderous desire. For love. How can they look into my eyes. And still they don't believe me? How can they hear me say those words. Still they don't believe me? And if they don't believe me now. Will they ever believe me? Will they ever, they ever, believe me? Oh. A plundering desire. How can they see the love in our eyes. And still they don't believe us? And after all this time. They don't want to believe us. And if they don't believe us now. Will they ever believe us? And when you want to live, how do you start? Where do you go? Who do you need to know? Oh no. La.",The Smiths,Rock,The Queen Is Dead,1985.0,negative
Lost Cat,"Lost Cat. Lost cat in Arthur Street, black and white. If you go, I'll come without a fight. I'm sick of hearing damning words of you come cursing through my head. And I'm too proud to sit here,chasing time, wasting things we shared. Or thought we had. You said, I'm you digging a home. Truth is, you left a long time ago. But you can turn it on and play the innocent, though you've been caught. And I'm too proud to sit here, saying everything is how it was. Never been this sure. Take it from where you want to grow, there's always tomorrow. I'd rather have you smile than have you fall, no matter where you go. Ten men in trial of love succeed. All those in Arthur Street will walk free. And you can turn it on and play at anything you ever wanted to. Cos you're not dull and I'm not strong enough to carry on wondering. How we're gonna see this through.",Catatonia,Rock,Way Beyond Blue,1996.0,negative
Rasta,"Rasta. (Intro). I say positive vibrations in the air. Hope you feel me brother. A hope you feel me sister. (Chorus). I say one, two, Rasta is passing through, hey. I and I a keep it cool, yeah. Real reggae music a weh we seh. Real reggae music. (Verse 1). I have a duty, Jah said create good music. So Him can reach the world across the seven seas, yeah. Oh it's the healing, no one can't fight this feeling, yeah. Now the world should know, yes, the world should know. (Verse 2). And mi seh worldwide, people a shout out dub wise. Music it gets us so high. Only sweet reggae music, yeah. Let me hear the drum roll. And mek me hear the baseline. Girls dem a whine up dem waistline. Only sweet reggae music can. Rasta retreating, yeah. Cause a love I a deal wid, yeah, poh Lord, yeah. Only sweet reggae music can set the captives free. From the evil from the streets. You feel the beats so you must believe. In the Kings of Kings, Lords of Lords. Conquering Lion and He rules us all, yeah. Woo, woo, woo, a weh we seh. (Chrous). (Verse 3). No matter what you're feeling. Real reggae music shall set you free, yeah. From all the pain that you feel. And put a smile in return. So you're sitting in your town. Rasta is coming through. Positive vibrations coming through. Good fi the children too. I say one, two, Rasta is passing through. Only sweet reggae music can, yeah. Let me hear you say, yeah. Let me hear you say, yeah, yeah, yeah. Rasta people out there, hey. Let me hear you, yeah. Rasta people out there. Hear me now, yeah. I say one.",Jah Cure,Reggae,The Cure,2014.0,positive
Black,"Black. Hey, hey, yeah, uh. Sheets of empty canvas, untouched sheets of clay. Were laid spread out before me as her body once did. All five horizons revolved around her soul as the earth to the sun. Now the air I tasted and breathed has taken a turn, ooh. And all I taught her was everything. Ooh, I know she gave me all that she wore. And now my bitter hands chafe beneath the clouds. Of what was everything. Oh, the pictures have all been washed in black. Tattooed everything. I take a walk outside, I'm surrounded by some kids at play. I can feel their laughter, so why do I sear. Oh and twisted thoughts that spin round my head. I'm spinning, oh I'm spinning, how quick the sun can drop away. And now my bitter hands cradle broken glass. All the pictures have all been washed in black. All the love gone bad turned my world to black. Tattooed all I see, all that I am, all I'll be yeah. Oh oh ooh. I know someday you'll have a beautiful life. I know you'll be a star in somebody else's sky, but why. Why, why can't it be, oh can't it be mine? Ooh, ah yeah, ah ooh. Doodoo-doo-doo-doodoodoo, Doodoo-doo-doo-doodoodoo. Doodoo-doo-doo-doodoodoo, ooh ooh ooh. Doodoo-doo-doo-doodoodoo, ooh.",Pearl Jam,Rock,Ten,1991.0,negative
