title,lyrics,artist,genre,album,year,binary_sentiment
Sex Type Thing,"Sex Type Thing. I am, I am, I am. I said I wanna get next to you. I said I gonna get close to you. You wouldn't want me have to hurt you too, hurt you too? I ain't, I ain't, I ain't. A-buying into your apathy. I'm gonna learn ya my philosophy. You wanna know about atrocity, atrocity? I know you want what's on my mind. I know you like what's on my mind. I know it eats you up inside. I know, you know, you know, you know. I am a man, a man. I'll give ya something that ya won't forget. I said ya shouldn't have worn that dress. Here I come, I come, I come, I come.",Stone Temple Pilots,Rock,Core ,1992.0,negative
Life Goes On,"Life Goes On. How many brothers fell victim to the streets? Rest in peace, young nigga, there's a heaven for a G. Be a lie If I told you that I never thought of death. My niggas, we the last ones left, but life goes on. As I bail through the empty halls, breath stinkin' in my jaws. Ring, ring, ring quiet, y'all, incomin' call. Plus this my homie from high school, he gettin' by. It's time to bury another brother, nobody cry. Life as a baller: alcohol and booty calls. We used to do 'em as adolescents, do you recall? Raised as G's, loc'ed out, and blazed the weed. Get on the roof, let's get smoked out, and blaze with me. Two in the morning and we still high, assed out. Screamin', ""Thug 'til I die!"" before I passed out. But now that you're gone, I'm in the zone. Thinkin' I don't wanna die all alone, but now you gone. And all I got left are stinkin' memories. I love them niggas to death, I'm drinkin' Hennessy. While tryin' to make it last. I drank a fifth for that ass when you passed, 'cause life goes on. My niggas, we the last ones left, and life goes on. Yeah nigga, I got the word it's hell. You blew trial and the judge gave you 25 with an L. Time to prepare to do fed time, won't see parole. Imagine life as a convict that's gettin' old. Plus with the drama, we're lookin' out for your baby's mama. Takin' risks, while keepin' cheap tricks from gettin' on her. Life in the hood is all good for nobody. Remember gamin' on dumb hotties at yo' party. Me and you, no truer two, while schemin' on hits. And gettin' tricks that maybe we can slide into. But now you buried rest, nigga, 'cause I ain't worried. Eyes blurry, sayin' goodbye at the cemetery. Though memories fade. I got your name tatted on my arm. So we both ball 'til my dyin' days. Before I say goodbye. Kato and Mental, rest in peace! Thug 'til I die!. My niggas, we the last ones left, 'cause life goes on. Bury me smilin' with G's in my pocket. Have a party at my funeral, let every rapper rock it. Let the hoes that I used to know. From way befo' kiss me from my head to my toe. Give me a paper and a pen, so I can write about my life of sin. A couple bottles of gin, in case I don't get in. Tell all my people I'm a Ridah. Nobody cries when we die, we Outlawz, let me ride. Until I get free. I live my life in the fast lane, got police chasin' me. To my niggas from old blocks, from old crews. Niggas that guided me through back in the old school. Pour out some liquor, have a toast for the homies. See, we both gotta die, but you chose to go before me. And brothers miss you while you gone. You left your nigga on his own; how long we mourn? Life goes on. Life goes on, homie. Gone on, 'cause they passed away. Niggas doin' life. Niggas doin' 50 and 60 years and shit. I feel you, nigga, trust me, I feel you. You know what I mean? Last year we poured out liquor for ya. This year, nigga, life goes on, we're gonna clock now. Get money, evade bitches, evade tricks. Give playa haters plenty of space. And basically just represent for you, baby. Next time you see your niggas, we gon' be on top, nigga. You gon' be like, ""Goddamn, them niggas came up!"". That's right, baby, life goes on. And we up out this bitch. Hey, Kato! Mental!. Y'all niggas make sure it's poppin'. When we get up there, man, don't front. Hold me no more, hold me no more. Yes it do, yes it do, yes it do.",2Pac,Hip-Hop,All Eyez on Me,1996.0,negative
You Wouldn’t Know Me,"You Wouldn’t Know Me. You wouldn't know me. If you saw me here. Wake up at your front door no more. You'll never know me by askin' how I been. You'll never keep up that way. Stop sign, stop sign. That's all she threw at me. 'Til I don't feel like home no more. Wings on fire, I caught outside of a brand new home. Buried in your heels. I told her. That's what I say. Bad news is better than what you've been handing me. What's gone wrong with you my friend. Promise me, promise me. Don't ask that of me now. Won't you just send me some word. I'm changing day to day, that's right. Well you wouldn't know me.",Miranda Lambert,Country,The Weight of These Wings,2016.0,negative
Something in the Way,"Something in the Way. Underneath the bridge. Tarp has sprung a leak. And the animals I've trapped. Have all become my pets. And I'm living off of grass. And the drippings from my ceiling. It's okay to eat fish. 'Cause they don't have any feelings. Something in the way, mmm. Something in the way, yeah, mmm.",Nirvana,Rock,Nevermind,1991.0,negative
Crazy,"Crazy. Girl, there are no words to say. What I feel in my heart. You, you're on my mind night and day. And it hurts me when we're apart. When you're not here by my side. There is nothing in this world for me. I guess I'm crazy, crazy for you can't you see. And although you may think I'm crazy. This is where I'll always be. I will always need your love. Now, I can see every dream. When I look in your eyes. Though, things never are what they seem. There is one thing that I realize. That there's no doubt in my mind. We can make this love go on forever. And I need you with me. 'cause you are the dream. That finally came true for me. And all my life there'll be no one else. If I looked all my life there could be no one else. And for the rest of my life all I need is you. I guess I'm crazy.",Kenny Rogers,Country,Greatest Hits,,positive
I Saw the Light,I Saw the Light. I wandered so aimless life filled with sin. I wouldn't let my dear savior in. Then Jesus came like a stranger in the night. Praise the Lord I saw the light. I saw the light I saw the light. No more darkness no more night. Now I'm so happy no sorrow in sight. Just like a blind man I wandered along. Worries and fears I claimed for my own. Then like the blind man that God gave back his sight. I was a fool to wander and a-stray. Straight is the gate and narrow the way. Now I have traded the wrong for the right.,Hank Williams,Country,Hank Williams Sings,1948.0,positive
Million Voices,"Million Voices. Ni ryari izuba, Rizagaruka, Hejuru yacu. Ni nd' uzaricyeza ricyeza. Rwanda, Rwanda. Yeah Rwanda, Rwanda. They said: ""Many are called and few are chosen,"". But I wish some wasn't chosen. For the blood spilling of Rwanda. They said: ""Meshach Shadrach and Abednego. Thrown in the fire but they never got burned,"". But I wish that I didn't get burned in Rwanda. They said: ""The man is judged according to his works,"". So tell me Africa, what's your worth? There's no money, no diamonds, no fortunes. On this planet that can replace Rwanda. Rwanda Rwanda. Yeah, Rwanda Rwanda. These are the cry of the children. Anybody hear my cry? If America, is the United States of America. Then why can't Africa, be the United States of Africa? And if England, is the United Kingdom. Then why can't Africa unite all the kingdoms. And become United Kingdom of Africa? Rwanda Rwanda, Rwanda Rwanda. Yeah, yeah. These are the cries of the children, yeah. Can anybody out there hear our cries? Yeah, heavens cry ... Jesus cry. Lord, did you hear us calling you? Lord, did you hear us calling? Can you do something in Rwanda? I'm talking 'bout Jesus; talking 'bout. Rwanda Rwanda Rwanda. Talking 'bout talking 'bout . I wanna play my guitar for Rwanda..",Wyclef Jean,Hip-Hop,Carnival Vol. II - Memoirs of an Immigrant,,negative
Crowds,"Crowds. What do you want of me. What do you long from me. A slim Pixie, thin and forlorn. A count, white and drawn. What do you make of me. What can you take from me. Pallid landscapes off my frown. Let me rip you up and down. For you I came to forsake. Lay wide despise and hate. I sing of you in my demented songs. For you and your stimulations. Take what you can of me. Rip what you can off me. And this I'll say to you. And hope that it gets through. You worthless bitch. You fickle shit. You will spit on me. You will make me spit. And when the Judas howl arise. And like the Jesus Jews you epitomize. I'll still be here as strong as you. And I'll walk away in spite of you. And I'll walk away. Away. Walk away. (repeat).",Bauhaus,Rock,In the Flat Field,1980.0,negative
Do I Ever Cross Your Mind,"Do I Ever Cross Your Mind. Oh, sometimes I go walking through fields where we walked. Long ago in the sweet used to be. And the flowers still grow, but they don't smell as sweet. As they did when you picked them for me. And when I think of you and the love we once knew. How I wish we could go back in time. Do you ever think back on old memories like that? Or do I ever cross your mind? Do you ever wake up lonely in the middle of the night. Because you miss me, do you darling. Oh, and do your memories ever take. You back into another place in time. And do you ever miss the feelings. And the love we shared when you were with me, tell me darling. Or do I ever cross your mind. Oh, how often I wish that again I could kiss. Your sweet lips like I did long ago. And how often I long for those two loving arms. That once held me so gentle and close.",Dolly Parton,Country,Heartbreak Express,1982.0,positive
Blow Up the Outside World,"Blow Up the Outside World. Nothing seems to kill me no matter how hard I try. Nothing is closing my eyes. Nothing can beat me down for your pain or delight. No. And nothing seems to break me. No matter how far I fall. Nothing can break me at all. Not one for giving up though not invincible. I know. I've given everything I need. I'd give you everything I own. I'd give in if it could at least be ours alone. I've given everything I could. To blow it to hell and gone. Burrow down in and. Blow up the outside. Blow up the outside world. Someone tried to tell me something. ""Don't let the world bring you down"". Nothing can do me in before I do myself. So save it for your own and the ones you can help. Want to make it understood. Wanting though I never would. Trying though I know it's wrong. Blowing it to hell and gone. Wishing though I never could.",Soundgarden,Rock,Down on the Upside,1996.0,negative
Let Down,"Let Down. Transport, motorways and tramlines. Starting and then stopping. Taking off and landing. The emptiest of feelings. Disappointed people clinging on to bottles. And when it comes it's so, so disappointing. Let down and hanging around. Crushed like a bug in the ground. Shell smashed, juices flowing. Wings twitch, legs are going. Don't get sentimental. It always ends up drivel. One day I am gonna grow wings. A chemical reaction. Hysterical and useless. Hysterical and. Let down again. You know, you know where you are with. You know where you are with. Floor collapsing. Floating, bouncing back. And one day. I am gonna grow wings. (You know where you are).",Radiohead,Rock,OK Computer,1997.0,negative
My Life,"My Life. My life, my life. Makes me wanna run away. There's no place to go. No place to go. All the confusion. It's an illusion, like a movie. Got nowhere to go. Nowhere to run and hide. No matter how hard I try. Yeah, '03, I went from quite filthy to filthy rich. Man, their emotions change, so I can never trust a bitch. I tried to help niggas get on, they turned around and spit. Right in my face, so Game and Buck both can suck a dick. Now when you hear 'em it may sound like it's some other shit. 'Cause I'm not writin' anymore, they not makin' hits. I'm far from perfect, there's so many lessons I done learned. If money's evil, look at all the evil I done earned. I'm doin' what I'm supposed to, I'm a writer, I'm a fighter. Entrepreneur, fresh out the sewer, watch me maneuver. What's it to ya? The track I lace it, it's better than basic. This is my recovery, my comeback, kid. While you were sippin' your own Kool-Aid gettin' your buzz heavy. I was in the fucking shed, sharpening my machete. Sippin' on some of that revenge juice, getting my taste buds ready. To wolf down this spaghetti. Or should I say this spa-get-even? I think you fucking meatballs keep on just forgetting. Thought he was finished, motherfucker, it's only the beginning. He's buggin' again, he's straight thuggin', fuck who he's offending!. He'll rip your vocal chords out. And have them bitches plugged in the. Motherfucking wall with 3000 volts of electricity. Now take the other end of 'em. Then plug them motherfuckers-in-each one of your eye sockets. 'Cause I thought you might finally fucking see. That'll teach you to go voicin' your cocksuckin' opinion to me. I done put my blood, my sweat and my tears in this shit. Fuck letting up! You're gonna end up regretting. You ever betted against me. Feels like I'ma snap any minute, yeah, it's happenin' again. And I'm thinking about just saying. ""Motherfuck everybody that's up in this bitch but 50!"". 'Cause this is all I know, this is why so hard I go. I swear to God I put my heart and soul. In this more than anybody knows. I'm trapped, so all I do is rap. But everytime I rap I'm more trapped. And I rap myself right to this bubble, oh I guess it's bubble wrap. It's like a vicious cycle, my life's in a crisis. Christ, how was I supposed to know shit would turn up like it did? Feels like I'm going psycho again (shh, shh, shh, shh). And I might just blow my lid. Shit, I almost wish that I would have never made Recovery, kid. 'Cause I'm runnin' in circles with. I haven't been this fuckin' confused since I was a kid. Sold like 40 million records, people forgot what I did. Maybe this is for me, maybe. Maybe I'm supposed to go crazy. Maybe I'll do it 3AM in the morning like Shady. Psycho killer, Michael Myers, I'm on fire like a lighter. Try to say this ain't classic, get yo' ass kicked mad quick. Wrap your head up in plastic. Pussy, now pick the casket, dirt nap with the maggots. It's tragic, it's sad it's never gonna end. Now we number one again. With that frown on your face and your heart full of hate. Accept it, respect it, this a gift God-given. Like the air in the lungs of every fuckin' thing livin'.",50 Cent,Hip-Hop,Street King Immortal,2012.0,negative
Dead From the Waist Down,"Dead From the Waist Down. The sun is shining. We should be making hay. But we're dead from the waist down. Like in Californ-I-A. Victory is empty. There are lessons in defeat. We are sleeping on our feet. We stole the songs from birds in trees. Bought us time on easy street. Now our paths, they never meet. We chose to court and flatter greed, ego disposability. I caught a glimpse, and it's not me. Make hay not war. Or else we're done for. And we're dead from the waist down. There's no contracts binding. No bad scene beyond repair. But when you're dead from the waist down. You're too far gone to even care. Shining....",Catatonia,Rock,Equally Cursed and Blessed,1999.0,negative
You’re Not the Only One I Know,"You’re Not the Only One I Know. Where's the harm in voicing a doubt. You'll find me in the lavatory. And where's the harm in talking out loud. When I'm on my own. What's so wrong with reading my stars. When I'll be in the lavatory. And what is so wrong with counting the cars. When I'm all alone. You're not the only one that I know. But I'm too proud to talk to you anyway. But I'm far too proud to talk to you any day. So I say I'm in love with the world. And what is so wrong with voicing a doubt. It's perfectly fine to sleep in a chair. From Monday 'til Saturday. And what is so wrong with talking out loud. You're, you're not the only one that I know. So they rode out west to the seaside. And they gladly decided to stay. After two hours wandering outside. Ooh the sea air drove them away, yeah. And I'm too proud to talk to you anyway. And I'm far too proud to talk to you any day. You're not the only one. But I'm far too proud you're so. You're young. But I know, I know, I know, I know. I'm far too proud to talk to you any day. But if you do, don't you know. That I don't mind, no, no, no.",The Sundays,Rock,"Reading, Writing, and Arithmetic ",1990.0,negative
Wild Child,"Wild Child. Looks like royal in a thrift store dress. Keeps my heart and her hair a mess. She goes where the wind suggests she goes, who knows. Got a spirit that can't be tamed. She's a calico pony on an open plain. I know I'll never be the same no more, for sure. She's a wild child. Got a rebel soul with a whole lot of gypsy wild style. She can't be tied down but for a while. I'll be falling free and so in love. Might break my heart but God she drives me wild child. You've never heard of her favorite band unless you. Been to Bonnaroo or Burning Man. She's Penny Lane in a Chevy van, she loves to love. She loves me wild child. She'll be here until she runs. Some just have to chase the sun. A kaleidoscope of colors in her mind child. A touch of crazy hides behind her wild smile. So simple yet experimental. Innocent but still a little wild child. Wild child.",Kenny Chesney,Country,The Big Revival,2014.0,positive
Wanna be Loved,"Wanna be Loved. What a world of love!. Now where could it be? Must bee somewhere for me. I Buju Banton need it desperately. Baba bomb. Wanna be loved. Not for who you think I am. Nor what you want me to be. Could you love me for me? Real love, with no strings attached. I wanna give you me heart. Don't want to take it back. And this is my chat (cho!). Been searching for a long long time. For that oh-so-true love. To comfort this heart of mine. No pretense stop wasting my time. A virtuous woman is really hard to find. I'm telling you lady. I'm only human, not looking for impossibility. Just a genuine woman with sincerity. Someone who is always near to hold me. Show me you care, up front and boldly. Don't shun my feelings, all the positive meanings. Love me morning, noon all seasons. This is my chat (cho). Well every ho have it's stick in a bush. What happen to me...she must be somewhere out there. Now where could she be? Caught up passionately in a love rhapsody. I'm like waiting on some honey. But there ain't no queen bee. Everybody's laughing. Some say I'm silly. No infatuation, no love fantasy. Woman you lead my life on a string. I can't tell the on and off thing. I'm oh so lonely inside so I sing. I would spend my nights at home. But if it means contention. I'd rather be alone. Tell the service man cut the phones. Lock all communication. If there's no light within my day. I'd rather stay in isolation. For that special someone a lifetime I'll wait. I know that I'll be okay. Cross my heart, every day I live I pray. And I know she'll come my way. Night and day for this woman I pray.",Buju Banton,Reggae,’Til Shiloh,,positive
Come Together,"Come Together. Shoot me. Here come old flat-top, he come groovin' up slowly. He got ju-ju eyeball, he one holy roller. He got hair down to his knee. Got to be a joker, he just do what he please. He wear no shoeshine, he got toe-jam football. He got monkey finger, he shoot Coca-Cola. He say, ""I know you, you know me"". One thing I can tell you is you got to be free. Come together, right now. Over me. He bag production, he got walrus gumboot. He got Ono sideboard, he one spinal cracker. He got feet down below his knee. Hold you in his armchair, you can feel his disease. Right!. Come, come, come, come. He roller-coaster, he got early warnin'. He got muddy water, he one mojo filter. He say, ""One and one and one is three."". Got to be good-lookin' 'cause he's so hard to see. Ugh!. Come together, yeah. Uh. Come together.",The Beatles,Rock,Abbey Road,1969.0,negative
Holy Grail,"Holy Grail. You'd take the clothes off my back and I'd let you. You'd steal the food right out my mouth. And I'd watch you eat it. I still don't know why, why our love is so much, ohh. (Thanks for warnin' me, thanks for warnin' me). You curse my name in spite to put me to shame. Hang my laundry in the streets, dirty or clean. Give it up for fame. But I still don't know why, why I love it so much. And, baby, it's amazin' I'm in this maze with you. I just can't crack your code. One day you screamin' you love me loud. The next day you're so cold. One day you're here, one day you're there, one day you care. You're so unfair. Sippin' from your cup 'til it runneth over. Holy Grail. Uh, uh, uh. Blue told me remind you niggas, uh. Fuck that shit y'all talking 'bout, I'm the nigga, uh. Caught up in all these lights and cameras, uh. But look what that shit did to Hammer, uh. Goddamn it, I like it. Bright lights is enticin', but look what it did to Tyson. All that money in one night, thirty mil' for one fight. But soon as all the money blows, all the pigeons take flight. Fuck the fame, keep cheatin' on me. What I do? I took her back. Fool me twice; that's my bad, I can't even blame her for that. Enough to make me wanna murder. Momma, please just get my bail. I know nobody to blame; Kurt Cobain, I did it to myself, uh. And we all just entertainers. And we're stupid and contagious. Now I got tattoos on my body. Psycho bitches in my lobby. I got haters in the paper, photo shoots with paparazzi. Can't even take my daughter for a walk. See 'em by the corner store. I feel like I'm cornered off. Enough is enough, I'm callin' this off. Who the fuck I'm kiddin' though? I'm gettin' high, sittin' low. Slidin' by in that big body, curtains all in my window. This fame hurt, but this chain worse. I think back you asked the same person. If this is all you had to deal with. Nigga, deal with, this shit ain't work. This light work, camera snappin', my eyes hurt. Niggas dying back where I was birthed. Fuck your iris and the IRS. Get the hell up off your high horse. You got the shit that niggas die for, dry yours. Why you mad? Take the good with the bad. Or throw the baby out with that bath water. You still alive, still that nigga. Nigga, you survived, you still gettin' bigger. Nigga, living the life, vanilla wafers in a villa. Illest nigga alive; Michael Jackson's Thriller. You get the air out my lungs whenever you need it. And you take the blade right out my heart. Just so you can watch me bleed. And I still don't know why, why I love you so much, yeah. And you play this game in spite to drive me insane. I got it tattooed on my sleeve. Forever in ink with guess whose name. But I still don't know why, why our love is so much, yeah.",JAY-Z,Hip-Hop,Magna Carta... Holy Grail,2013.0,negative
007 (Shanty Town),"007 (Shanty Town). 0-0-7. At ocean eleven. And now rudeboys a go wail. 'Cause them out of jail. Rudeboys cannot fail. Cause them must get bail. Dem a loot, dem a shoot, dem a wail. A Shanty Town. Dem rude boys deh pon probation. Them a rude boy a bomb up the town. Cause them out of jail. Police get taller. Soldier get longer. Rudeboy a weep and a wail. Rude boys a weep and a wail.",Desmond Dekker,Reggae,King of Kings,,negative
No Role Modelz,"No Role Modelz. First things first: rest in peace Uncle Phil. For real, you the only father that I ever knew. I get my bitch pregnant, I'ma be a better you. Prophecies that I made way back in the Ville, fulfilled. Listen, even back when we was broke, my team ill. Martin Luther King woulda been on Dreamville. Talk to a nigga. One time for my L.A. sisters. One time for my L.A. hoes. Lame niggas can't tell the difference. One time for a nigga who know. Don't save her, she don't wanna be saved. No role models and I'm here right now. No role models to speak of. Searchin' through my memory, my memory, I couldn't find one. Last night I was gettin' my feet rubbed. By the baddest bitch, not Trina but I swear to God. This bitch'll make you call your girl up. And tell her, ""Hey, what's good?"". ""Sorry I'm never comin' home, I'ma stay for good."". Then hang the phone up and proceed to lay the wood. I came fast like 9-1-1 in white neighborhoods. Ain't got no shame 'bout it. She think I'm spoiled and I'm rich 'cause I can have any bitch. I got defensive and said, ""Nah, I was the same without it."". But then I thought back, back to a better me. Before I was a B-list celebrity. Before I started callin' bitches ""bitches"" so heavily. Back when you could get a platinum plaque without no melody. You wasn't sweatin' me. I want a real love, dark skinned Aunt Viv love. That Jada and that Will love. That leave a toothbrush at your crib love. And you ain't gotta wonder whether that's your kid love. Nigga, I don't want no bitch from reality shows. Out-of-touch-with-reality hoes. Out in Hollywood bringin' back five or six hoes. Fuck 'em then we kick 'em to the do'. Nigga, you know how it go. She deserved that, she a bird, it's a bird trap. You think if I didn't rap she would flirt back? Takin' off her skirt, let her wear my shirt 'fore she leave. I'ma need my shirt back (nigga, you know how it go). There's an old saying in TennesseeI know it's in Texas, probably in Tennesseethat says, fool me once shame onshame on you. Fool me, you can't get fooled again. Fool me one time, shame on you. Fool me twice, can't put the blame on you. Fool me three times, fuck the peace sign. Load the chopper, let it rain on you. My only regret was too young for Lisa Bonet. My only regret was too young for Nia Long. Now all I'm left with is hoes from reality shows. Hand her a script, the bitch probably couldn't read along. My only regret was too young for Sade Adu. My only regret, could never take Aaliyah home. Now all I'm left with is hoes up in Greystone. With the stale face 'cause they know it's they song. She shallow but the pussy deep (she shallow, she shallow).",J. Cole,Hip-Hop,2014 Forest Hills Drive,2014.0,negative
